,words,document_frequency,idf
247,AFKLMU,1,4.226694400154885
248,ゼクシィ,1,4.226694400154885
249,ミレー,46,2.7345589610971164
250,スキーマ,13,3.2722456934067816
251,ハイドロキシアパタイト,1,4.226694400154885
252,クリーンインスコ,1,4.226694400154885
253,かぞく,3,3.85868325544004
254,perid,5,3.662354248157242
255,HolmesVoodooWizzWolfetone,1,4.226694400154885
256,根っ子,1,4.226694400154885
257,poly,3,3.85868325544004
258,ケータイガラホ,2,4.0048284711681985
259,耳たぶ,1,4.226694400154885
260,vvf,1,4.226694400154885
261,bottleneckcalculator,1,4.226694400154885
262,MSIWFTK,1,4.226694400154885
263,groupmatchstr,1,4.226694400154885
264,ナッシング,1,4.226694400154885
265,kinnmokusei,1,4.226694400154885
266,イアー,47,2.7253010943569747
267,CoreQuad,3,3.85868325544004
268,CanAm,1,4.226694400154885
269,リンチ,11,3.3419159945656185
270,フォーシーマー,1,4.226694400154885
271,女の子,163,2.1864759441049393
272,エンディング,48,2.7162357546923315
273,ミッシング,4,3.7495216052854055
274,ドライヤー,16,3.1850439530602155
275,マサパパ,2,4.0048284711681985
276,ヒッティング,6,3.5897863989196144
277,YEVSHurley,1,4.226694400154885
278,リーガー,7,3.527621309401949
279,ソフトバンクソフトバンクコリア,1,4.226694400154885
280,アイビスペイント,3,3.85868325544004
281,エヌコロ,1,4.226694400154885
282,ホスト,62,2.6058564546870593
283,CCleanerCCleaner,1,4.226694400154885
284,InstagramTwitterLINE,1,4.226694400154885
285,Abb,3,3.85868325544004
286,cmainmainexe,1,4.226694400154885
287,キャラデザ,6,3.5897863989196144
288,SUBARU,3,3.85868325544004
289,キャバ,18,3.135321789051034
290,サーティ,442,1.7492295745453181
291,バラスト,15,3.2122133879933243
292,THEMOVIE,1,4.226694400154885
293,MicroShift,2,4.0048284711681985
294,スダジオ,1,4.226694400154885
295,トゥッチ,2,4.0048284711681985
296,RZSSZR,1,4.226694400154885
297,inclusivewearwriststraps,1,4.226694400154885
298,スティロ,4,3.7495216052854055
299,email,14,3.241194272137845
300,LIV,52,2.681749340318409
301,acViewPreview,1,4.226694400154885
302,アディクション,13,3.2722456934067816
303,レインフォレストアライアンス,4,3.7495216052854055
304,アニアリ,1,4.226694400154885
305,resx,1,4.226694400154885
306,ジャメビュ,1,4.226694400154885
